Country Name	Country Code	2015	2016	2017	2018	2019	2020
Aruba	ABW	100	100	100	100		
Afghanistan	AFG	71.5	97.7	97.7	98.7132034301758		
Angola	AGO	42	40.6680183410645	41.9628944396973	43.2592582702637		
Albania	ALB	100	100	100	100		
Andorra	AND	100	100	100	100		
Arab World	ARB	88.7200973716188	89.3086016965609	90.2836375587196	89.286856223316		
United Arab Emirates	ARE	100	100	100	100		
Argentina	ARG	99.8271179199219	99.9591217041016	100	100		
Armenia	ARM	100	100	100	100		
American Samoa	ASM						
Antigua and Barbuda	ATG	100	100	100	100		
Australia	AUS	100	100	100	100		
Austria	AUT	100	100	100	100		
Azerbaijan	AZE	100	100	100	100		
Burundi	BDI	8.63160705566406	9.63749980926514	9.3	11.0242519378662		
Belgium	BEL	100	100	100	100		
Benin	BEN	37.7004013061523	38.9702529907227	34.5	41.529239654541		
Burkina Faso	BFA	16.3046741485596	16.8605937957764	17.5064811706543	14.4		
Bangladesh	BGD	73.1279678344727	75.92	88	85.1604232788086		
Bulgaria	BGR	100	100	100	100		
Bahrain	BHR	100	100	100	100		
"Bahamas	 The"	BHS	100	100	100	100		
Bosnia and Herzegovina	BIH	99.7	100	100	100		
Belarus	BLR	100	100	100	100		
Belize	BLZ	91.8	96.9637756347656	98.2511520385742	99.5400161743164		
Bermuda	BMU	100	100	100	100		
Bolivia	BOL	91.522822	91.8	91.8	95.5853652954102		
Brazil	BRA	99.710902	99.7	100	100		
Barbados	BRB	100	100	100	100		
Brunei Darussalam	BRN	100	100	100	100		
Bhutan	BTN	95.464729309082	99.5963287353516	97.7	100		
Botswana	BWA	58.1154747009277	60.3544654846191	62.602352142334	64.8517227172852		
Central African Republic	CAF	24.1092948913574	27.0880069732666	29.8344898223877	32.4203987121582		
Canada	CAN	100	100	100	100		
Central Europe and the Baltics	CEB	100	99.8278347045649	100	100		
Switzerland	CHE	100	100	100	100		
Channel Islands	CHI						
Chile	CHL	99.714844	100	100	100		
China	CHN	100	100	100	100		
Cote d'Ivoire	CIV	62.6	64.3	65.6	66.9911804199219		
Cameroon	CMR	58.7187347412109	60.0260848999023	61.3423347473145	62.6600723266602		
"Congo	 Dem. Rep."	COD	16.4397258758545	17.4034118652344	18.2261638641357	18.9776611328125		
"Congo	 Rep."	COG	60.4	60.7406959533691	64.7098541259766	68.5184326171875		
Colombia	COL	98.186898	98.4	98.5	99.9364471435547		
Comoros	COM	74.4254531860352	76.9181213378906	79.4196929931641	81.9227523803711		
Cabo Verde	CPV	87.085563659668	89.2459487915039	91.4152297973633	93.5859985351563		
Costa Rica	CRI	99.409804	99.5	99.6	100		
Caribbean small states	CSS	95.744147412218	97.1016731799269	97.7674212166884	98.4016023741215		
Cuba	CUB	99.439826965332	99.8534622192383	99.928352355957	100		
Curacao	CUW	100	100	100	100		
Cayman Islands	CYM	100	100	100	100		
Cyprus	CYP	100	100	100	100		
Czech Republic	CZE	100	100	100	100		
Germany	DEU	100	100	100	100		
Djibouti	DJI	57.531120300293	58.6942405700684	60.2	60.3954467773438		
Dominica	DMA	99.8146362304688	99.9815139770508	100	100		
Denmark	DNK	100	100	100	100		
Dominican Republic	DOM	98.560364	98.9	100	100		
Algeria	DZA	99.9313659667969	99.9900512695313	100	100		
East Asia & Pacific (excluding high income)	EAP	96.8171354715771	96.9662395813656	97.6266800146537	97.7707941758023		
Early-demographic dividend	EAR	85.7464262557241	87.2751264951492	89.6168259151402	90.7246521706474		
East Asia & Pacific	EAS	97.1287488927404	97.2621205109475	97.8571233091855	97.9864336581834		
Europe & Central Asia (excluding high income)	ECA	98.2877337177718	99.9822107962946	99.9833681776927	99.9839707519244		
Europe & Central Asia	ECS	99.2628139698716	99.9728561915189	99.9928102936989	99.9930584895805		
