Rank	Country	(deaths/1,000 population) 	Date of Information
1	Lesotho	15.4	2020 est.
2	Lithuania	15	2020 est.
3	Bulgaria	14.6	2020 est.
4	Latvia	14.6	2020 est.
5	Ukraine	14	2020 est.
6	Serbia	13.5	2020 est.
7	Russia	13.4	2020 est.
8	Belarus	13.1	2020 est.
9	Estonia	12.9	2020 est.
10	Hungary	12.9	2020 est.
11	Croatia	12.8	2020 est.
12	Afghanistan	12.7	2020 est.
13	Moldova	12.6	2020 est.
14	Somalia	12.4	2020 est.
15	Central African Republic	12.3	2020 est.
16	Germany	12.1	2020 est.
17	Greece	12	2020 est.
18	Romania	12	2020 est.
19	Zambia	11.6	2020 est.
20	South Sudan	11.4	2020 est.
21	Georgia	11	2020 est.
22	Mozambique	11	2020 est.
23	Saint Pierre and Miquelon	10.9	2020 est.
24	Monaco	10.8	2020 est.
25	Portugal	10.8	2020 est.
26	Czechia	10.7	2020 est.
27	Italy	10.7	2020 est.
28	Poland	10.6	2020 est.
29	Isle of Man	10.4	2020 est.
30	Montenegro	10.4	2020 est.
31	Finland	10.3	2020 est.
32	Slovenia	10.3	2020 est.
33	Bosnia and Herzegovina	10.2	2020 est.
34	Japan	10.2	2020 est.
35	Niger	10.2	2020 est.
36	Eswatini	10.1	2020 est.
37	Slovakia	10.1	2020 est.
38	Chad	10	2020 est.
39	Austria	9.8	2020 est.
40	Belgium	9.8	2020 est.
41	Sierra Leone	9.8	2020 est.
42	France	9.6	2020 est.
43	Macedonia	9.6	2020 est.
44	Armenia	9.5	2020 est.
45	Denmark	9.5	2020 est.
46	Puerto Rico	9.5	2020 est.
47	United Kingdom	9.5	2020 est.
48	Korea, North	9.4	2020 est.
49	Sweden	9.4	2020 est.
50	South Africa	9.3	2020 est.
51	Spain	9.3	2020 est.
52	Uruguay	9.3	2020 est.
53	Zimbabwe	9.3	2020 est.
54	Botswana	9.2	2020 est.
55	Guernsey	9.2	2020 est.
56	Netherlands	9.2	2020 est.
57	Bermuda	9.1	2020 est.
58	Cuba	9.1	2020 est.
59	Nigeria	9.1	2020 est.
60	Trinidad and Tobago	9.1	2020 est.
61	Cook Islands	9	2020 est.
62	Greenland	9	2020 est.
63	Mali	9	2020 est.
64	San Marino	9	2020 est.
65	Barbados	8.8	2020 est.
66	Faroe Islands	8.8	2020 est.
67	Aruba	8.7	2020 est.
68	Congo, Republic of the	8.7	2020 est.
69	Curacao	8.7	2020 est.
70	Saint Barthelemy	8.7	2020 est.
71	Gibraltar	8.6	2020 est.
72	Angola	8.5	2020 est.
73	Switzerland	8.5	2020 est.
74	Virgin Islands	8.5	2020 est.
75	Benin	8.4	2020 est.
76	Congo, Democratic Republic of the	8.4	2020 est.
77	Guinea	8.4	2020 est.
78	Grenada	8.3	2020 est.
79	Malta	8.3	2020 est.
80	Palau	8.3	2020 est.
