Country	Country Code	2015	2016	2017	2018	2019	2020
Aruba	ABW	88.66122693	93.54245387	97.17			
Afghanistan	AFG	8.26		11.44768809			
Angola	AGO	12.4	13	14.33907936			
Albania	ALB	63.2529327	66.3634447	71.8470405		69.64285467	
Andorra	AND	96.91	97.93063712	91.56746703			
Arab World	ARB	43.6963346506088	41.487476705116	49.9674380621178	63.1667284913872		
United Arab Emirates	ARE	90.5	90.60000732	94.81992254	98.45000178	99.14999796	
Argentina	ARG	68.04306411	70.96898082	74.29490687			
Armenia	ARM	59.10083377	64.34602977	64.74488433	68.24505226		
American Samoa	ASM						
Antigua and Barbuda	ATG	70	73				
Australia	AUS	84.56051491	86.54	86.54504885			
Austria	AUT	83.94014193	84.32374257	87.93558659	87.47913723	87.75220479	
Azerbaijan	AZE	77	78.2	79	79.79999549		
Burundi	BDI	4.866224464	5.173626777	2.660748535			
Belgium	BEL	85.05294175	86.51647666	87.67968082	88.65506428	90.37051309	
Benin	BEN	11.25498791	11.99404791	14.11901233			
Burkina Faso	BFA	14	13.96	15.87620691			
Bangladesh	BGD	14.4	18.02			12.9	
Bulgaria	BGR	56.65625161	59.82554766	63.41010138	64.78201069	67.94698094	
Bahrain	BHR	93.4783008	97.9999807	95.87813575	98.64467258	99.70150438	
Bahamas, The	BHS	78	80	85			
Bosnia and Herzegovina	BIH	52.6	60.25653543	64.89202051	70.12013504	69.94634763	
Belarus	BLR	62.23036091	71.11304576	74.43644541	79.12988669	82.78915209	
Belize	BLZ	41.59	44.57574032	47.0826258			
Bermuda	BMU	98.32360965	98	98.37			
Bolivia	BOL	35.56227065	39.6975146	43.83227607	44.28614216		
Brazil	BRA	58.32795173	60.87254007	67.47128452	70.43428254		
Barbados	BRB	76.11	79.54939789	81.76077839			
Brunei Darussalam	BRN	71.2	90	94.86669164	95	95	
Bhutan	BTN	39.8	41.77264453				
Botswana	BWA	37.31205037	39.36299738	41.41379464			
Central African Republic	CAF	3.8	4	4.339254945			
Canada	CAN	90	91.16	92.70137191			
Central Europe and the Baltics	CEB	67.3511702922402	71.3419807922689	73.4095673098879	75.9821372719383		
Switzerland	CHE	87.4790556	89.13468774	89.68614767		93.14608695	
Channel Islands	CHI						
Chile	CHL	76.62959195	83.55858602	82.32748693			
China	CHN	50.3	53.2	54.3			
Cote d'Ivoire	CIV	38.44000017	41.20781493	43.83992085	37.54653613	36.45378947	
Cameroon	CMR	20.68014766	23.20297197	23.20297197			
Congo, Dem. Rep.	COD	3.799999507	6.20997406	8.619904916			
Congo, Rep.	COG	7.615974662	8.121949323	8.65			
Colombia	COL	55.90497251	58.13649357	62.25988032	64.12637682	65.00690072	
Comoros	COM	7.459161386	7.938322771	8.478170295			
Cabo Verde	CPV	42.68301416	50.32281787	57.16214635			
Costa Rica	CRI	59.76295014	65.88044919	71.58166462	73.47972844	81.20259644	
Caribbean small states	CSS	50.295468139717	52.9532109498586	59.524759245663			
