key	value	number
region	Afghanistan	1
total population	52.8 years	1
male	51.4 years	1
female	54.4 years (2020 est.)	1
region	Albania	2
total population	79 years	2
male	76.3 years	2
female	81.9 years (2020 est.)	2
region	Algeria	3
total population	77.5 years	3
male	76.1 years	3
female	79.1 years (2020 est.)	3
region	American Samoa	4
total population	74.8 years	4
male	72.3 years	4
female	77.5 years (2020 est.)	4
region	Andorra	5
total population	83 years	5
male	80.8 years	5
female	85.4 years (2020 est.)	5
region	Angola	6
total population	61.3 years	6
male	59.3 years	6
female	63.4 years (2020 est.)	6
region	Anguilla	7
total population	81.8 years	7
male	79.2 years	7
female	84.5 years (2020 est.)	7
region	Antigua and Barbuda	8
total population	77.3 years	8
male	75.1 years	8
female	79.6 years (2020 est.)	8
region	Argentina	9
total population	77.8 years	9
male	74.7 years	9
female	81.1 years (2020 est.)	9
region	Armenia	10
total population	75.6 years	10
male	72.3 years	10
female	79.2 years (2020 est.)	10
region	Aruba	11
total population	77.5 years	11
male	74.4 years	11
female	80.7 years (2020 est.)	11
region	Australia	12
total population	82.7 years	12
male	80.5 years	12
female	85 years (2020 est.)	12
region	Austria	13
total population	81.9 years	13
male	79.2 years	13
female	84.7 years (2020 est.)	13
region	Azerbaijan	14
total population	73.6 years	14
male	70.5 years	14
female	76.9 years (2020 est.)	14
region	Bahamas, The	15
total population	73.3 years	15
male	70.8 years	15
female	75.8 years (2020 est.)	15
region	Bahrain	16
total population	79.4 years	16
male	77.1 years	16
female	81.8 years (2020 est.)	16
region	Bangladesh	17
total population	74.2 years	17
male	72 years	17
female	76.5 years (2020 est.)	17
region	Barbados	18
total population	76 years	18
male	73.6 years	18
female	78.4 years (2020 est.)	18
region	Belarus	19
total population	73.8 years	19
male	68.3 years	19
female	79.5 years (2020 est.)	19
region	Belgium	20
total population	81.4 years	20
male	78.8 years	20
female	84.2 years (2020 est.)	20
region	Belize	21
total population	75.3 years	21
male	73.7 years	21
female	77 years (2020 est.)	21
region	Benin	22
total population	61.4 years	22
male	59.6 years	22
female	63.3 years (2020 est.)	22
region	Bermuda	23
total population	81.7 years	23
male	78.5 years	23
female	84.9 years (2020 est.)	23
region	Bhutan	24
total population	72.1 years	24
male	71 years	24
female	73.2 years (2020 est.)	24
region	Bolivia	25
total population	70.4 years	25
male	67.6 years	25
