key	value	number
Country	Afghanistan	1
total	10 years	1
male	13 years	1
female	8 years	1
data year	2018	1
Country	Albania	2
total	15 years	2
male	14 years	2
female	16 years	2
data year	2019	2
Country	Algeria	3
total	14 years	3
male	14 years	3
female	15 years	3
data year	2011	3
Country	Angola	4
total	10 years	4
male	12 years	4
female	7 years	4
data year	2011	4
Country	Antigua and Barbuda	5
total	15 years	5
male	14 years	5
female	16 years	5
data year	2012	5
Country	Argentina	6
total	18 years	6
male	16 years	6
female	19 years	6
data year	2017	6
Country	Armenia	7
total	13 years	7
male	13 years	7
female	14 years	7
data year	2019	7
Country	Aruba	8
total	14 years	8
male	13 years	8
female	14 years	8
data year	2012	8
Country	Australia	9
total	21 years	9
male	20 years	9
female	21 years	9
data year	2018	9
Country	Austria	10
total	16 years	10
male	16 years	10
female	16 years	10
data year	2018	10
Country	Azerbaijan	11
total	14 years	11
male	13 years	11
female	14 years	11
data year	2019	11
Country	Bahrain	12
total	16 years	12
male	16 years	12
female	17 years	12
data year	2019	12
Country	Bangladesh	13
total	12 years	13
male	12 years	13
female	12 years	13
data year	2018	13
Country	Barbados	14
total	15 years	14
male	14 years	14
female	17 years	14
data year	2011	14
Country	Belarus	15
total	15 years	15
male	15 years	15
female	16 years	15
data year	2018	15
Country	Belgium	16
total	20 years	16
male	19 years	16
female	21 years	16
data year	2018	16
Country	Belize	17
total	13 years	17
male	13 years	17
female	13 years	17
data year	2019	17
Country	Benin	18
total	13 years	18
male	14 years	18
female	11 years	18
data year	2016	18
Country	Bermuda	19
total	13 years	19
male	12 years	19
female	14 years	19
data year	2015	19
Country	Bhutan	20
total	13 years	20
male	13 years	20
female	14 years	20
data year	2018	20
Country	Bosnia and Herzegovina	21
total	14 years	21
male	14 years	21
female	15 years	21
data year	2014	21
Country	Botswana	22
total	13 years	22
male	13 years	22
female	13 years	22
data year	2013	22
Country	Brazil	23
total	14 years	23
male	14 years	23
female	14 years	23
data year	2011	23
Country	British Virgin Islands	24
total	12 years	24
male	12 years NA	24
female	12 years NA	24
data year	2018	24
Country	Brunei	25
total	14 years	25
male	14 years	25
female	15 years	25
data year	2019	25
Country	Bulgaria	26
total	14 years	26
male	14 years	26
female	14 years	26
data year	2018	26
Country	Burkina Faso	27
total	9 years	27
male	9 years	27
female	9 years	27
data year	2019	27
Country	Burma	28
total	11 years	28
male	11 years	28
female	11 years	28
data year	2018	28
Country	Burundi	29
total	11 years	29
male	11 years	29
female	11 years	29
data year	2018	29
Country	Cabo Verde	30
total	13 years	30
male	12 years	30
female	13 years	30
data year	2018	30
Country	Cambodia	31
total	11 years	31
male	11 years	31
female	10 years	31
data year	2008	31
Country	Cameroon	32
total	12 years	32
male	13 years	32
female	11 years	32
data year	2016	32
Country	Canada	33
total	16 years	33
male	16 years	33
female	17 years	33
data year	2018	33
Country	Central African Republic	34
total	7 years	34
male	8 years	34
female	6 years	34
data year	2012	34
Country	Chad	35
total	7 years	35
male	9 years	35
female	6 years	35
data year	2015	35
Country	Chile	36
total	17 years	36
male	16 years	36
female	17 years	36
data year	2018	36
